OG_size	Dataset	Phylum	Count
1173	900	NonMeta	0
1173	900	Porifera	7
1173	900	Ctenophora	0
1173	900	Placozoa	1
1173	900	Cnidaria	6
1173	900	Xenacoelomorpha	9
1173	900	Ambulacraria	15
1173	900	Chordata	8
1173	900	Ecdysozoa	6
1173	900	Lophotrochozoa	7
212	600	NonMeta	2
212	600	Porifera	6
212	600	Ctenophora	3
212	600	Placozoa	1
212	600	Cnidaria	6
212	600	Xenacoelomorpha	12
212	600	Ambulacraria	9
212	600	Chordata	6
212	600	Ecdysozoa	7
212	600	Lophotrochozoa	26
1178	300	NonMeta	0
1178	300	Porifera	1
1178	300	Ctenophora	1
1178	300	Placozoa	1
1178	300	Cnidaria	1
1178	300	Xenacoelomorpha	3
1178	300	Ambulacraria	3
1178	300	Chordata	4
1178	300	Ecdysozoa	3
1178	300	Lophotrochozoa	9
